Name,aka,Country of origin,Description,Sample brands,Image
Belgian Pilsner,Pils,Belgium,"A pale lager originally from the Czech Republic that ranges from light to golden yellow.  Belgian pilsners are sweeter than the sharp bitterness of their Bavarian counterparts.  Smooth, light-bodied, and mildly malted, Belgian pilsners have a floral aroma pair well with fish and shellfish.  Their thirst-quenching abilities also make them a good choice for fried or spicy food.","Bel Pils (5.3%), Juiler (5.2%), Riva Pils (5%), Slag Lager (4.8%)",belgian_pilsner
Belgian White Beer,"Witbier, biere blanche, wheat beer",Belgium,"White beers are brewed with wheat, which gives them a distinct delicate flavor.  Belgian white beers are even more refreshing than its Bavarian counterpart, and are often spiced with orange peel and coriander.  Highly carbonated, flavorful, and low in bitterness, they are very versatile beers that pair well with almost everything.  They specifically shine with lighter fare: seafood (especially when prepared with citrus flavors) and sweet meats.   ","Blanche de Namur (4.5%), Dentegems Witbier (5%), Florisgaarden wit (5%), Hoegaarden Blanche (5%, Titje (5%), Vlaamsch Wit/Blanche des Flandres (Flemish white) (4.5%)",belgian_white_beer
Lambic,Gueuze,Belgium,"Lambic beers are the world's oldest beer style and undergo spontaneous fermentation via the wild yeast in the air.  Aged in casks, they lack hop bitterness but are very acidic and tend to have a characteristic musty, tart taste.  Lambics of different ages - and therefore, different levels of mellowness - are blended together to create gueuze.","Belle-Vue (5.2%), Cantillon (5.5%), De Troch (5.5%), Girardin (5%), Mort Subite (4%)",lambic
Fruit Beer,,Belgium,"Fruit beers are the product of fermenting lambic beers with fruit.  Originally fermented with cherries, fruit beers now include flavors like raspberry, peach, and apple.","Chapeau Banana, Strawberry, Pineapple, or Plum Lambic (3%), Florisgaarden Ninkeberry (3%), Liefmans Frambozen (5.2%), Lifemans Kriek (6.5%), Liefmens Glhukriek (6.5%), St Louis Cassis (4.5%), St Louis Peche (3.5%)",fruit_beer
Belgian Pale Ale,,Belgium,"A medium-bodied, bright, and refreshing beer with round, biscuity malt center.  Their yeast strains contiribute a light fruitiness - with notes such as licorice, orange peel, and cinammon - that make them pair well with earthy, nutty, and herb-filled foods. Moderate hops, in both taste and aroma, make Belgian pale ales very drinkable.  Belgian pale ales do not pair well with acidic foods or those with citric flair.","Artevelde (5.7%), De Koninck (5%), De Koninck Cuvee (7.7%), Speciale Op-ale (5%), Straffe Hendrik (6%), Vieux Temps (5.5%)",belgian_pale_ale
Golden Ale,,Belgium,"Golden ales look deceptively innocuous - despite their delicate color, they are ABV heavyweights and often come in at 8% and above.  Light-bodied and delicate with a perfumey nose, it rolls smooth and dry on the tongue, finishes with a crack of hops, and leaves a warm, spicy aftertaste.","Delerium Tremens (9%), Duvel (8.5%), Lucifer (8%), Piraat (10.5%), Sloeber (7.5%)",golden_ale
Flemish Brown Ale,"Oud Bruin, old brown ale",Belgium,"Flemish brown ales are brightly acidic - much like their red ale counterparts - but have darker raisin, chocolate, and toffee notes due to their roasted malts.  Flemish brown ales pair well with fatty meats and are intensified by dishes with raisins and prunes.  They also work well as bases for stews and sauces.","Bios Vlaamse Bourgogne (6%), Liefmans Goudenband (8%), Liefmans Oud Bruin (5%), Gouden Carolus (7.5%), Roman Special (5.5%)",flemish_brown_ale
Flemish Red Ale,"Red beer, wine beer",Belgium,"Light, brightly acidic, and tinged with sweetness, Flemish red ales pair particularly well with shellfish.  Flemish red ales also pair well with crab, oysters, moules frites, squid, octopus, ceviche, smoked salmon, and most fish, especially if prepared with citrus or vinegar.  Their lightness also makes them a good brunch beer, as their acidity and underlying sweetness work well with omelettes.","Bacchus (4.5%), Rodenbach Grand Cru (6.5%)",flemish_red_ale
Saison,,Belgium,"Traditionally a farmhouse ale, saisons were originally brewed in cold weather and drunk during the warm summer months.  Thirst-quenching, light, and brisk, saisons are mostly brewed from pale malts and flavored with wide variety of spices.  Saisons are incredibly versatile with food and pair with almost everything.  They do not, however, pair well with delicate fish, desserts, or acidic tomato sauces.","Belgo Blonde (5.5%), Dupont (6.5%), Pipaix (6.5%), Saison Silly (5%)",saison
Trappist Dubbel,"Trappiste beer, double",Belgium,"Trappist beers were originally brewed by monks in the interest of self-sufficiency: monks brewed beer for themselves as well as for sale.  Today, there are a total of seven Trappist breweries in the world, six of which are in Belgium: Orval, Chimay, Westmalle, Westvleteren, Rochefort, and Achel.  Although some Trappist beers cannot be neatly organized, two styles seem to have emerged: dubbel and tripel.  Dubbels are medium-bodied reddish-brown beers with dark flavors: caramel, raisins, toffee, chocolate, rum, and plums.  Pair with meats with caramelized skin or dark fruit sauces.","Chimay Rouge (7%), Chimay Blonde (8%), Chimay Bleue (9%), Chimay Grande Reserve (9%), Orval (6.2%), Rochefort 6 (7.5%), Rochefort 8 (9%), Rochefort 10 (11.3%), Sixtus 8 (10%), Westmalle Dubbel (6%), Westmalle Tripel (8%)",trappist_dubbel
Trappist Tripel,"Trappiste beer, triple",Belgium,"Trappist beers were originally brewed by monks in the interest of self-sufficiency: monks brewed beer for themselves as well as for sale.  Today, there are a total of seven Trappist breweries in the world, six of which are in Belgium: Orval, Chimay, Westmalle, Westvleteren, Rochefort, and Achel.  Although some Trappist beers cannot be neatly organized, two styles seem to have emerged: dubbel and tripel.  Although sunny, golden tripels are lighter than dubbels, they weigh in at a higher alcohol by volume: they often come in at around 9%.  Tripels are light, hoppy, herbal, and fruity.  Their considerable alcohol heft makes them well-suited to take on boldly-flavored food, and they pair especially well with dishes heavy on herbs and citrus.",,trappist_tripel
Abbey Style,"Abbaye beer, Abdij beer",Belgium,"Abbey style beers are similar to Trappist beers in style and presentation.  However, they are brewed by non Trappist monasteries or commercial breweries that have adopted the name of a defunct, fictitious, or nonbrewing abbey.  While abbey styles do not follow a specific brewing style, they tend to mimic the styles of traditional Trappist beers, such as dubbels and tripels.","Affligem Triple (8.5%), Augustine (8%), Bornem Tripel (9%), Brugse Tripel (9.5%), Corsendonk Agnus (8%), Cosendonk Pater (8%), Ename Double (6.5%), Ename Triple (9%), Floreffe Tripel (8%), Het Kapitel Abt (10%), Het Kapitel Pater (6.5%), Het Kapitel Prior (9%), Leffe Blonde (6.5%), Leffe Brune (6.3%), Maredsous (6% draft, 6.8% bottled)",abbey_style
