Pairing Descriptor,Category
American (Traditional),Cuisine
Belgian,Cuisine
Brunch,Cuisine
Burgers,Cuisine
Cajun,Cuisine
Indian,Cuisine
Italian (Traditional),Cuisine
Japanese,Cuisine
Sushi,Cuisine
Latin American,Cuisine
Mediterannean,Cuisine
Mexican,Cuisine
Thai,Cuisine
Vietnamese,Cuisine
Beef,Main Ingredient
Dessert,Main Ingredient
Duck,Main Ingredient
Fatty Fish,Main Ingredient
Game,Main Ingredient
Lamb,Main Ingredient
Pork,Main Ingredient
Salad,Main Ingredient
Sausage,Main Ingredient
Seafood,Main Ingredient
Shellfish,Main Ingredient
Turkey,Main Ingredient
White Fish,Main Ingredient
Chicken,Main Ingredient
