Beer,Pairing Descriptor,Reasoning
Belgian Pale Ale,Pork,"Belgian pale ales pair well with almost any sausage, especially pork sausages."
Belgian Pale Ale,Lamb,The versatile Belgian pale ale enhances fatty meat.
Belgian Pale Ale,Beef,The versatile Belgian pale ale enhances fatty meat.
Belgian Pale Ale,Pork,The versatile Belgian pale ale enhances fatty meat and pairs well with virtually all pork dishes.
Belgian Pale Ale,Chicken,"Belgian pale ales pair well with chicken, especially roasted chicken treated with herbal flavors."
Belgian Pale Ale,Turkey,"The mild, caramel flavor of a Belgian pale ale works well with turkey's mild, nutty flavor.  An excellent addition to the Thanksgiving table."
Belgian Pale Ale,White Fish,"Earthy Belgian pale ales pair well with white-fleshed fish.  They also pair well with battered, fried fish."
Belgian Pale Ale,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Belgian Pale Ale,Mexican,Belgian pale ales pair well with earthy Mexican dishes.
Belgian Pale Ale,Burgers,The medium-bodied Belgian pale ale has just enough heft to take on and enhance a burger.
Flemish Brown Ale,Pork,"The dark flavors of Flemish brown ales match fatty, full-flavored meats.  The fattier the pork, the better - Flemish brown ales are strong enough to cut through the full fat flavor."
Flemish Brown Ale,Beef,"The dark flavors of Flemish brown ales match fatty, full-flavored meats.  They pair well with beef, especially beef stews."
Flemish Brown Ale,Game,"The dark flavors of Flemish brown ales match fatty, full-flavored meats, especially game like wild boar.  The gamier, the better."
Flemish Brown Ale,Duck,"The dark flavors of Flemish brown ales match fatty, full-flavored meats.  Flemish brown ales are strong enough to cut through fatty duck."
Flemish Brown Ale,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Flemish Brown Ale,American (Traditional),The Flemish brown ale's acidity helps cut through fat.
Flemish Brown Ale,Burgers,The Flemish brown ale's acidity helps cut through fat.
Flemish Red Ale,Shellfish,The light touch of Flemish red ales make them an especially good match for shellfish.
Flemish Red Ale,Seafood,Flemish red ales really shine with seafood - their light acidity and sweetness match the lightness and underlying sweetness of many seafood dishes.
Flemish Red Ale,White Fish,The light acidity of Flemish red ales pair well with delicate white-fleshed fish.
Flemish Red Ale,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Flemish Red Ale,Mediterannean,Flemish red ales pair well with lighter Mediterannean fare - octopus and other seafood prepared with citrus or vinegar.
Flemish Red Ale,Brunch,"Light, acidic, and fruity, Flemish red ales make an excellent brunch accompaniment."
Saison,Beef,"The palate-cleansing carbonation of saisons cuts through fat, grease, and salt of beef dishes, such as steak."
Saison,Pork,"The palate-cleansing carbonation of saisons cuts through fat and grease.  Often, saisons have a hint of apple, making them pair especially well with pork."
Saison,Duck,The palate-cleansing carbonation of saisons cuts through duck's fat and grease.  
Saison,Game,"The palate-cleansing carbonation of saisons cuts through fat and grease, making them an excellent pair for wild game."
Saison,Seafood,"The palate-cleansing carbonation of saisons pair well with fatty fish and shellfish, especially when pan seared.  Pan searing elucidates the saison's notes of toasted grain."
Saison,Fatty Fish,The palate-cleansing carbonation and peppery flavors of saisons make them an excellent pair for fatty fish.
Saison,Shellfish,Saisons pair well with shellfish.  They pair especially well with moules frites - mussels and fries.
Saison,Sausage,"Saisons pair well with virtually all sausage.  Since many have a hint of apple, they pair especially well with pork sausages."
Saison,Turkey,Saisons pair incredibly well with turkey.  An excellent addition to the Thanksgiving table.
Saison,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Saison,Thai,"Like Vietnamese and Japanese food, Thai food balances sweet and salty, as well as bright flavors - such as lime and cilantro - against dark ones - such as soy sauce and mushrooms.  Saisons can match both the bright elements of Thai food, but have enough earthiness to mingle with the darker ones."
